#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType"
"AdobeARMservice","Adobe Acrobat Update Service","Running","Automatic"
"AdobeFlashPlayerUpdateSvc","Adobe Flash Player Update Service","Stopped","Manual"
"AJRouter","AllJoyn Router Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppHostSvc","Application Host Helper Service","Running","Automatic"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"aspnet_state","ASP.NET State Service","Stopped","Disabled"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"Browser","Computer Browser","Running","Manual"
"BthHFSrv","Bluetooth Handsfree Service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Manual"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_87a52","Connected Devices Platform User Service_87a52","Running","Automatic"
"CertPropSvc","Certificate Propagation","Running","Manual"
"ClickToRunSvc","Microsoft Office ClickToRun Service","Running","Automatic"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cphs","Intel(R) Content Protection HECI Service","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Running","Automatic"
"dbupdate","Dropbox Update Service (dbupdate)","Stopped","Automatic"
"dbupdatem","Dropbox Update Service (dbupdatem)","Stopped","Manual"
"DbxSvc","DbxSvc","Running","Automatic"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Automatic"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicesFlowUserSvc_87a52","DevicesFlow_87a52","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","dmwappushsvc","Stopped","Automatic"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Stopped","Automatic"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Running","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Running","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
